id,asal_jurusan_smk,minat_hobi,mapel_favorit,rekomendasi_jurusan_kuliah,rekomendasi_universitas
1,RPL,coding dan merakit pc,Matematika,Teknik Informatika,Universitas Indonesia
2,Tata Boga,memasak dan bereksperimen resep,Kewirausahaan,Ilmu Gizi,Universitas Brawijaya
3,Akuntansi,menghitung dan manajemen uang,Ekonomi,Manajemen Keuangan,Universitas Gadjah Mada
4,Multimedia,desain ilustrasi dan edit video,Seni Budaya,Desain Komunikasi Visual,Institut Kesenian Jakarta
5,TKJ,hacking jaringan komputer,Fisika,Sistem Informasi,Institut Teknologi Bandung
6,DKV,menggambar dan tipografi,Seni Budaya,Desain Grafis,Institut Teknologi Sepuluh Nopember
7,Pemasaran,jualan online dan sosmed,Ekonomi,Ilmu Komunikasi,Universitas Diponegoro
8,Perhotelan,traveling dan bahasa asing,Bahasa Inggris,Pariwisata,Universitas Udayana
9,Farmasi,meracik obat dan kimia,Kimia,Farmasi,Universitas Airlangga
10,Mesin,otomotif dan bongkar mesin,Fisika,Teknik Mesin,Universitas Sebelas Maret
